date,ticker,field,value
2024-01-02,PSSA3 BZ Equity,PX_LAST,25.053
2024-01-03,PSSA3 BZ Equity,PX_LAST,25.167
2024-01-04,PSSA3 BZ Equity,PX_LAST,24.956
2024-01-05,PSSA3 BZ Equity,PX_LAST,25.053
2024-01-08,PSSA3 BZ Equity,PX_LAST,25.114
2024-01-09,PSSA3 BZ Equity,PX_LAST,24.965
2024-01-10,PSSA3 BZ Equity,PX_LAST,24.623
2024-01-11,PSSA3 BZ Equity,PX_LAST,24.395
2024-01-12,PSSA3 BZ Equity,PX_LAST,24.123
2024-01-15,PSSA3 BZ Equity,PX_LAST,24.386
2024-01-16,PSSA3 BZ Equity,PX_LAST,23.921
2024-01-17,PSSA3 BZ Equity,PX_LAST,23.719
2024-01-18,PSSA3 BZ Equity,PX_LAST,24.079
2024-01-19,PSSA3 BZ Equity,PX_LAST,24.298
2024-01-22,PSSA3 BZ Equity,PX_LAST,24.254
2024-01-23,PSSA3 BZ Equity,PX_LAST,24.053
2024-01-24,PSSA3 BZ Equity,PX_LAST,24.149
2024-01-25,PSSA3 BZ Equity,PX_LAST,23.781
2024-01-26,PSSA3 BZ Equity,PX_LAST,23.526
2024-01-29,PSSA3 BZ Equity,PX_LAST,23.579
2024-01-30,PSSA3 BZ Equity,PX_LAST,23.272
2024-01-31,PSSA3 BZ Equity,PX_LAST,23.403
2024-02-01,PSSA3 BZ Equity,PX_LAST,23.5
2024-02-02,PSSA3 BZ Equity,PX_LAST,23.579
2024-02-05,PSSA3 BZ Equity,PX_LAST,23.719
2024-02-06,PSSA3 BZ Equity,PX_LAST,24.105
2024-02-07,PSSA3 BZ Equity,PX_LAST,24.254
2024-02-08,PSSA3 BZ Equity,PX_LAST,23.237
2024-02-09,PSSA3 BZ Equity,PX_LAST,23.377
2024-02-14,PSSA3 BZ Equity,PX_LAST,22.728
2024-02-15,PSSA3 BZ Equity,PX_LAST,22.947
2024-02-16,PSSA3 BZ Equity,PX_LAST,22.912
2024-02-19,PSSA3 BZ Equity,PX_LAST,22.807
2024-02-20,PSSA3 BZ Equity,PX_LAST,23.053
2024-02-21,PSSA3 BZ Equity,PX_LAST,23.088
2024-02-22,PSSA3 BZ Equity,PX_LAST,23.36
2024-02-23,PSSA3 BZ Equity,PX_LAST,23.465
2024-02-26,PSSA3 BZ Equity,PX_LAST,23.421
2024-02-27,PSSA3 BZ Equity,PX_LAST,24.158
2024-02-28,PSSA3 BZ Equity,PX_LAST,25.596
2024-02-29,PSSA3 BZ Equity,PX_LAST,25.053
2024-03-01,PSSA3 BZ Equity,PX_LAST,25.096
2024-03-04,PSSA3 BZ Equity,PX_LAST,25.0
2024-03-05,PSSA3 BZ Equity,PX_LAST,25.21
2024-03-06,PSSA3 BZ Equity,PX_LAST,25.64
2024-03-07,PSSA3 BZ Equity,PX_LAST,27.079
2024-03-08,PSSA3 BZ Equity,PX_LAST,27.281
2024-03-11,PSSA3 BZ Equity,PX_LAST,27.158
2024-03-12,PSSA3 BZ Equity,PX_LAST,27.333
2024-03-13,PSSA3 BZ Equity,PX_LAST,26.912
2024-03-14,PSSA3 BZ Equity,PX_LAST,27.044
2024-03-15,PSSA3 BZ Equity,PX_LAST,26.974
2024-03-18,PSSA3 BZ Equity,PX_LAST,27.149
2024-03-19,PSSA3 BZ Equity,PX_LAST,27.517
2024-03-20,PSSA3 BZ Equity,PX_LAST,27.719
2024-03-21,PSSA3 BZ Equity,PX_LAST,27.474
2024-03-22,PSSA3 BZ Equity,PX_LAST,27.149
2024-03-25,PSSA3 BZ Equity,PX_LAST,27.131
2024-03-26,PSSA3 BZ Equity,PX_LAST,27.324
2024-03-27,PSSA3 BZ Equity,PX_LAST,27.675
2024-03-28,PSSA3 BZ Equity,PX_LAST,27.438
2024-04-01,PSSA3 BZ Equity,PX_LAST,27.414
2024-04-02,PSSA3 BZ Equity,PX_LAST,27.716
2024-04-03,PSSA3 BZ Equity,PX_LAST,27.884
2024-04-04,PSSA3 BZ Equity,PX_LAST,27.982
2024-04-05,PSSA3 BZ Equity,PX_LAST,27.805
2024-04-08,PSSA3 BZ Equity,PX_LAST,27.813
2024-04-09,PSSA3 BZ Equity,PX_LAST,27.671
2024-04-10,PSSA3 BZ Equity,PX_LAST,27.52
2024-04-11,PSSA3 BZ Equity,PX_LAST,27.538
2024-04-12,PSSA3 BZ Equity,PX_LAST,27.218
2024-04-15,PSSA3 BZ Equity,PX_LAST,26.996
2024-04-16,PSSA3 BZ Equity,PX_LAST,26.552
2024-04-17,PSSA3 BZ Equity,PX_LAST,26.392
2024-04-18,PSSA3 BZ Equity,PX_LAST,26.321
2024-04-19,PSSA3 BZ Equity,PX_LAST,26.312
2024-04-22,PSSA3 BZ Equity,PX_LAST,26.232
2024-04-23,PSSA3 BZ Equity,PX_LAST,25.983
2024-04-24,PSSA3 BZ Equity,PX_LAST,26.33
2024-04-25,PSSA3 BZ Equity,PX_LAST,26.596
2024-04-26,PSSA3 BZ Equity,PX_LAST,26.916
2024-04-29,PSSA3 BZ Equity,PX_LAST,26.703
2024-04-30,PSSA3 BZ Equity,PX_LAST,26.614
2024-05-02,PSSA3 BZ Equity,PX_LAST,26.534
2024-05-03,PSSA3 BZ Equity,PX_LAST,26.596
2024-05-06,PSSA3 BZ Equity,PX_LAST,26.472
2024-05-07,PSSA3 BZ Equity,PX_LAST,26.179
2024-05-08,PSSA3 BZ Equity,PX_LAST,26.197
2024-05-09,PSSA3 BZ Equity,PX_LAST,25.557
2024-05-10,PSSA3 BZ Equity,PX_LAST,25.344
2024-05-13,PSSA3 BZ Equity,PX_LAST,24.962
2024-05-14,PSSA3 BZ Equity,PX_LAST,25.379
2024-05-15,PSSA3 BZ Equity,PX_LAST,27.76
2024-05-16,PSSA3 BZ Equity,PX_LAST,27.458
2024-05-17,PSSA3 BZ Equity,PX_LAST,27.831
2024-05-20,PSSA3 BZ Equity,PX_LAST,27.716
2024-05-21,PSSA3 BZ Equity,PX_LAST,27.769
2024-05-22,PSSA3 BZ Equity,PX_LAST,26.65
2024-05-23,PSSA3 BZ Equity,PX_LAST,26.827
2024-05-24,PSSA3 BZ Equity,PX_LAST,27.049
2024-05-27,PSSA3 BZ Equity,PX_LAST,26.916
