date,ticker,field,value
2024-01-02,SANB11 BZ Equity,PX_LAST,27.228
2024-01-03,SANB11 BZ Equity,PX_LAST,27.194
2024-01-04,SANB11 BZ Equity,PX_LAST,26.939
2024-01-05,SANB11 BZ Equity,PX_LAST,27.296
2024-01-08,SANB11 BZ Equity,PX_LAST,27.117
2024-01-09,SANB11 BZ Equity,PX_LAST,26.327
2024-01-10,SANB11 BZ Equity,PX_LAST,26.004
2024-01-11,SANB11 BZ Equity,PX_LAST,25.919
2024-01-12,SANB11 BZ Equity,PX_LAST,25.766
2024-01-15,SANB11 BZ Equity,PX_LAST,25.733
2024-01-16,SANB11 BZ Equity,PX_LAST,25.282
2024-01-17,SANB11 BZ Equity,PX_LAST,25.546
2024-01-18,SANB11 BZ Equity,PX_LAST,25.41
2024-01-19,SANB11 BZ Equity,PX_LAST,25.665
2024-01-22,SANB11 BZ Equity,PX_LAST,25.753
2024-01-23,SANB11 BZ Equity,PX_LAST,25.598
2024-01-24,SANB11 BZ Equity,PX_LAST,25.4
2024-01-25,SANB11 BZ Equity,PX_LAST,25.125
2024-01-26,SANB11 BZ Equity,PX_LAST,25.297
2024-01-29,SANB11 BZ Equity,PX_LAST,24.892
2024-01-30,SANB11 BZ Equity,PX_LAST,25.142
2024-01-31,SANB11 BZ Equity,PX_LAST,24.668
2024-02-01,SANB11 BZ Equity,PX_LAST,25.082
2024-02-02,SANB11 BZ Equity,PX_LAST,24.806
2024-02-05,SANB11 BZ Equity,PX_LAST,25.082
2024-02-06,SANB11 BZ Equity,PX_LAST,25.624
2024-02-07,SANB11 BZ Equity,PX_LAST,25.021
2024-02-08,SANB11 BZ Equity,PX_LAST,24.453
2024-02-09,SANB11 BZ Equity,PX_LAST,24.565
2024-02-14,SANB11 BZ Equity,PX_LAST,24.315
2024-02-15,SANB11 BZ Equity,PX_LAST,24.513
2024-02-16,SANB11 BZ Equity,PX_LAST,25.013
2024-02-19,SANB11 BZ Equity,PX_LAST,25.047
2024-02-20,SANB11 BZ Equity,PX_LAST,25.28
2024-02-21,SANB11 BZ Equity,PX_LAST,24.944
2024-02-22,SANB11 BZ Equity,PX_LAST,24.883
2024-02-23,SANB11 BZ Equity,PX_LAST,24.548
2024-02-26,SANB11 BZ Equity,PX_LAST,24.444
2024-02-27,SANB11 BZ Equity,PX_LAST,24.952
2024-02-28,SANB11 BZ Equity,PX_LAST,24.97
2024-02-29,SANB11 BZ Equity,PX_LAST,24.625
2024-03-01,SANB11 BZ Equity,PX_LAST,24.617
2024-03-04,SANB11 BZ Equity,PX_LAST,24.548
2024-03-05,SANB11 BZ Equity,PX_LAST,24.367
2024-03-06,SANB11 BZ Equity,PX_LAST,24.195
2024-03-07,SANB11 BZ Equity,PX_LAST,24.324
2024-03-08,SANB11 BZ Equity,PX_LAST,24.565
2024-03-11,SANB11 BZ Equity,PX_LAST,24.565
2024-03-12,SANB11 BZ Equity,PX_LAST,24.634
2024-03-13,SANB11 BZ Equity,PX_LAST,24.651
2024-03-14,SANB11 BZ Equity,PX_LAST,24.625
2024-03-15,SANB11 BZ Equity,PX_LAST,24.746
2024-03-18,SANB11 BZ Equity,PX_LAST,24.677
2024-03-19,SANB11 BZ Equity,PX_LAST,24.332
2024-03-20,SANB11 BZ Equity,PX_LAST,24.634
2024-03-21,SANB11 BZ Equity,PX_LAST,24.332
2024-03-22,SANB11 BZ Equity,PX_LAST,24.117
2024-03-25,SANB11 BZ Equity,PX_LAST,24.152
2024-03-26,SANB11 BZ Equity,PX_LAST,24.22
2024-03-27,SANB11 BZ Equity,PX_LAST,24.453
2024-03-28,SANB11 BZ Equity,PX_LAST,24.556
2024-04-01,SANB11 BZ Equity,PX_LAST,24.238
2024-04-02,SANB11 BZ Equity,PX_LAST,24.238
2024-04-03,SANB11 BZ Equity,PX_LAST,24.126
2024-04-04,SANB11 BZ Equity,PX_LAST,24.72
2024-04-05,SANB11 BZ Equity,PX_LAST,24.177
2024-04-08,SANB11 BZ Equity,PX_LAST,24.315
2024-04-09,SANB11 BZ Equity,PX_LAST,24.35
2024-04-10,SANB11 BZ Equity,PX_LAST,23.394
2024-04-11,SANB11 BZ Equity,PX_LAST,23.549
2024-04-12,SANB11 BZ Equity,PX_LAST,23.291
2024-04-15,SANB11 BZ Equity,PX_LAST,23.204
2024-04-16,SANB11 BZ Equity,PX_LAST,23.006
2024-04-17,SANB11 BZ Equity,PX_LAST,22.989
2024-04-18,SANB11 BZ Equity,PX_LAST,22.843
2024-04-19,SANB11 BZ Equity,PX_LAST,23.471
2024-04-22,SANB11 BZ Equity,PX_LAST,23.421
2024-04-23,SANB11 BZ Equity,PX_LAST,23.744
2024-04-24,SANB11 BZ Equity,PX_LAST,23.771
2024-04-25,SANB11 BZ Equity,PX_LAST,23.194
2024-04-26,SANB11 BZ Equity,PX_LAST,23.989
2024-04-29,SANB11 BZ Equity,PX_LAST,24.583
2024-04-30,SANB11 BZ Equity,PX_LAST,25.256
2024-05-02,SANB11 BZ Equity,PX_LAST,25.886
2024-05-03,SANB11 BZ Equity,PX_LAST,25.868
2024-05-06,SANB11 BZ Equity,PX_LAST,25.868
2024-05-07,SANB11 BZ Equity,PX_LAST,25.781
2024-05-08,SANB11 BZ Equity,PX_LAST,25.571
2024-05-09,SANB11 BZ Equity,PX_LAST,25.055
2024-05-10,SANB11 BZ Equity,PX_LAST,24.907
2024-05-13,SANB11 BZ Equity,PX_LAST,24.959
2024-05-14,SANB11 BZ Equity,PX_LAST,25.038
2024-05-15,SANB11 BZ Equity,PX_LAST,24.522
2024-05-16,SANB11 BZ Equity,PX_LAST,24.513
2024-05-17,SANB11 BZ Equity,PX_LAST,24.208
2024-05-20,SANB11 BZ Equity,PX_LAST,24.339
2024-05-21,SANB11 BZ Equity,PX_LAST,24.54
2024-05-22,SANB11 BZ Equity,PX_LAST,24.575
2024-05-23,SANB11 BZ Equity,PX_LAST,24.601
2024-05-24,SANB11 BZ Equity,PX_LAST,24.513
2024-05-27,SANB11 BZ Equity,PX_LAST,24.146
2024-05-28,SANB11 BZ Equity,PX_LAST,24.417
2024-05-29,SANB11 BZ Equity,PX_LAST,24.216
2024-05-31,SANB11 BZ Equity,PX_LAST,24.251
2024-06-03,SANB11 BZ Equity,PX_LAST,24.347
2024-06-04,SANB11 BZ Equity,PX_LAST,23.771
2024-06-05,SANB11 BZ Equity,PX_LAST,23.439
2024-06-06,SANB11 BZ Equity,PX_LAST,24.129
2024-06-07,SANB11 BZ Equity,PX_LAST,23.841
2024-06-10,SANB11 BZ Equity,PX_LAST,23.596
2024-06-11,SANB11 BZ Equity,PX_LAST,23.674
2024-06-12,SANB11 BZ Equity,PX_LAST,23.631
2024-06-13,SANB11 BZ Equity,PX_LAST,23.596
2024-06-14,SANB11 BZ Equity,PX_LAST,23.666
2024-06-17,SANB11 BZ Equity,PX_LAST,24.007
2024-06-18,SANB11 BZ Equity,PX_LAST,24.111
2024-06-19,SANB11 BZ Equity,PX_LAST,24.138
2024-06-20,SANB11 BZ Equity,PX_LAST,24.111
2024-06-21,SANB11 BZ Equity,PX_LAST,24.068
2024-06-24,SANB11 BZ Equity,PX_LAST,24.47
2024-06-25,SANB11 BZ Equity,PX_LAST,24.347
2024-06-26,SANB11 BZ Equity,PX_LAST,24.033
2024-06-27,SANB11 BZ Equity,PX_LAST,24.339
2024-06-28,SANB11 BZ Equity,PX_LAST,23.998
2024-07-01,SANB11 BZ Equity,PX_LAST,23.91
2024-07-02,SANB11 BZ Equity,PX_LAST,23.963
2024-07-03,SANB11 BZ Equity,PX_LAST,24.103
2024-07-04,SANB11 BZ Equity,PX_LAST,24.103
2024-07-05,SANB11 BZ Equity,PX_LAST,23.692
2024-07-08,SANB11 BZ Equity,PX_LAST,23.194
2024-07-09,SANB11 BZ Equity,PX_LAST,23.369
2024-07-10,SANB11 BZ Equity,PX_LAST,24.216
2024-07-11,SANB11 BZ Equity,PX_LAST,25.003
2024-07-12,SANB11 BZ Equity,PX_LAST,24.828
2024-07-15,SANB11 BZ Equity,PX_LAST,24.767
2024-07-16,SANB11 BZ Equity,PX_LAST,25.151
2024-07-17,SANB11 BZ Equity,PX_LAST,25.405
2024-07-18,SANB11 BZ Equity,PX_LAST,25.283
2024-07-19,SANB11 BZ Equity,PX_LAST,25.449
2024-07-22,SANB11 BZ Equity,PX_LAST,25.433
2024-07-23,SANB11 BZ Equity,PX_LAST,25.087
2024-07-24,SANB11 BZ Equity,PX_LAST,25.176
2024-07-25,SANB11 BZ Equity,PX_LAST,24.565
2024-07-26,SANB11 BZ Equity,PX_LAST,25.008
2024-07-29,SANB11 BZ Equity,PX_LAST,25.291
